MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
251180;07-2021;F10;1
251210;01-2021;F10;1
251230;10-2021;F10;1
251250;02-2021;F10;1
251270;03-2021;F10;1
251276;06-2021;F10;1
251290;12-2021;F10;1
251370;02-2021;F13;1
251370;04-2021;F10;3
251370;05-2021;F10;2
251370;09-2021;F10;1
251370;09-2021;F19;1
251370;10-2021;F10;1
251380;05-2021;F10;1
251390;03-2021;F10;1
251390;04-2021;F10;1
251390;06-2021;F10;1
251455;02-2021;F10;1
251500;12-2021;F10;1
251510;10-2021;F10;1
251540;10-2021;F10;1
251597;03-2021;F10;1
251600;09-2021;F10;1
251610;12-2021;F10;1
251630;01-2021;F10;1
251630;11-2021;F10;1
251640;01-2021;F10;1
251670;02-2021;F10;1
251700;01-2021;F10;1
260005;09-2021;F10;2
260005;10-2021;F10;1
260005;11-2021;F10;1
260010;06-2021;F10;1
260010;07-2021;F10;2
260020;03-2021;F10;1
260030;06-2021;F10;1
260030;09-2021;F10;1
260030;10-2021;F10;1
260030;11-2021;F10;1
260040;10-2021;F10;1
260050;04-2021;F10;1
260050;12-2021;F10;1
260060;03-2021;F10;1
260060;09-2021;F10;1
260070;07-2021;F10;1
260070;11-2021;F10;1
260080;01-2021;F10;1
260100;11-2021;F10;1
260105;03-2021;F10;1
260110;08-2021;F10;1
260110;11-2021;F10;1
260120;01-2021;F10;1
260120;03-2021;F10;1
260120;05-2021;F10;1
260120;07-2021;F10;1
260120;09-2021;F10;2
260120;10-2021;F10;2
260120;11-2021;F10;3
260130;10-2021;F10;1
260140;03-2021;F10;1
260140;06-2021;F10;1
260140;08-2021;F10;1
260150;10-2021;F10;1
260170;01-2021;F10;1
260170;04-2021;F10;2
260170;06-2021;F10;1
260170;09-2021;F10;1
260170;10-2021;F10;2
260180;12-2021;F19;1
260190;01-2021;F10;1
260190;02-2021;F10;1
260190;03-2021;F10;2
260190;05-2021;F10;2
