ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;CO_CEP;ANO;MES;REGIAO_SAUDE_POPULACAO;TIPO;REGIAO_SAUDE_QTDE_CAPS;REGIAO_SAUDE_IC
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2019;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2019;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2020;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2020;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2021;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2021;12;2391219;CAPS III;1;0,06272951160056858
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69117000,0;2022;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69230000,0;2018;12;2391219;Não informado;1;0,0
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69230000,0;2019;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69230000,0;2020;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69230000,0;2021;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69230000,0;2022;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69240000,0;2018;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69240000,0;2019;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69240000,0;2020;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69240000,0;2021;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69240000,0;2022;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69250000,0;2022;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69255000,0;2019;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69255000,0;2020;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69255000,0;2021;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69255000,0;2022;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69415000,0;2018;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69415000,0;2019;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69415000,0;2020;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69415000,0;2021;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69415000,0;2022;12;2391219;CAPS I;1;0,020909837200189525
13;AM;Amazonas;13001;Manaus, Entorno e Alto Rio Negro;69435000,0;2018;12;2391219;CAPS I;1;0,020909837200189525
