ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL
53;F10;2022;3;47
53;F10;2022;4;63
53;F10;2022;5;46
53;F10;2022;6;48
53;F10;2022;7;51
53;F10;2022;8;49
53;F10;2022;9;47
53;F10;2022;10;55
53;F10;2022;11;58
53;F10;2022;12;46
53;F11;2018;1;8
53;F11;2018;2;6
53;F11;2018;3;3
53;F11;2018;4;10
53;F11;2018;5;10
53;F11;2018;6;9
53;F11;2018;7;6
53;F11;2018;8;10
53;F11;2018;9;10
53;F11;2018;10;6
53;F11;2018;11;4
53;F11;2018;12;4
53;F11;2019;1;10
53;F11;2019;2;14
53;F11;2019;3;13
53;F11;2019;4;8
53;F11;2019;5;13
53;F11;2019;6;8
53;F11;2019;7;9
53;F11;2019;8;13
53;F11;2019;9;11
53;F11;2019;10;10
53;F11;2019;11;14
53;F11;2019;12;12
53;F11;2020;1;6
53;F11;2020;2;6
53;F11;2020;3;9
53;F11;2020;4;6
53;F11;2020;5;13
53;F11;2020;6;6
53;F11;2020;7;5
53;F11;2020;8;8
53;F11;2020;9;7
53;F11;2020;10;3
53;F11;2020;11;4
53;F11;2020;12;4
53;F11;2021;1;9
53;F11;2021;2;3
53;F11;2021;4;3
53;F11;2021;5;7
53;F11;2021;6;8
53;F11;2021;7;8
53;F11;2021;8;8
53;F11;2021;9;6
53;F11;2021;10;4
53;F11;2021;11;4
53;F11;2021;12;8
53;F11;2022;1;8
53;F11;2022;2;7
53;F11;2022;3;7
53;F11;2022;4;11
53;F11;2022;5;5
53;F11;2022;6;10
53;F11;2022;7;5
53;F11;2022;8;11
53;F11;2022;9;8
53;F11;2022;10;6
53;F11;2022;11;11
53;F11;2022;12;9
53;F12;2018;1;4
53;F12;2018;2;4
53;F12;2018;3;7
53;F12;2018;4;10
53;F12;2018;5;13
53;F12;2018;6;6
53;F12;2018;7;7
53;F12;2018;8;2
53;F12;2018;9;7
53;F12;2018;10;3
53;F12;2018;11;2
53;F12;2018;12;3
53;F12;2019;1;1
53;F12;2019;2;1
53;F12;2019;3;5
53;F12;2019;4;3
53;F12;2019;5;3
53;F12;2019;6;5
53;F12;2019;7;7
53;F12;2019;8;6
53;F12;2019;9;7
53;F12;2019;10;6
53;F12;2019;11;2
53;F12;2019;12;3
53;F12;2020;1;3
53;F12;2020;2;8
53;F12;2020;3;7
53;F12;2020;4;6
53;F12;2020;5;4
53;F12;2020;6;2
53;F12;2020;7;4
53;F12;2020;8;1
53;F12;2020;9;2
53;F12;2020;10;2
53;F12;2020;11;5
53;F12;2020;12;5
53;F12;2021;1;2
53;F12;2021;2;2
53;F12;2021;3;3
53;F12;2021;4;2
53;F12;2021;5;3
53;F12;2021;6;3
53;F12;2021;7;2
53;F12;2021;8;2
53;F12;2021;9;6
53;F12;2021;10;4
53;F12;2021;11;4
53;F12;2021;12;5
53;F12;2022;1;2
53;F12;2022;2;4
53;F12;2022;3;7
53;F12;2022;4;6
53;F12;2022;5;2
53;F12;2022;6;2
53;F12;2022;7;4
53;F12;2022;8;7
53;F12;2022;9;2
53;F12;2022;10;3
53;F12;2022;11;3
53;F12;2022;12;1
53;F13;2018;1;3
53;F13;2018;2;3
53;F13;2018;3;3
53;F13;2018;4;2
53;F13;2018;5;5
53;F13;2018;6;3
53;F13;2018;7;2
