;ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL;PERCENTUAL
441;53;F10;2020;3;93;1,9290603609209707
442;53;F10;2020;4;96;1,9912881144990666
443;53;F10;2020;5;89;1,846090022816843
444;53;F10;2020;6;71;1,472723501348268
445;53;F10;2020;7;47;0,9749014727235014
446;53;F10;2020;8;64;1,3275254096660443
447;53;F10;2020;9;54;1,120099564405725
448;53;F10;2020;10;43;0,8919311346193736
449;53;F10;2020;11;55;1,1408421489317568
450;53;F10;2020;12;64;1,3275254096660443
451;53;F10;2021;1;61;1,2281054962754179
452;53;F10;2021;2;57;1,1475739883229312
453;53;F10;2021;3;47;0,9462452184417153
454;53;F10;2021;4;33;0,6643849406080129
455;53;F10;2021;5;60;1,2079726192872962
456;53;F10;2021;6;67;1,3489027582041473
457;53;F10;2021;7;46;0,9261123414535937
458;53;F10;2021;8;55;1,1073082343466882
459;53;F10;2021;9;49;0,9865109724179585
460;53;F10;2021;10;48;0,966378095429837
461;53;F10;2021;11;54;1,0871753573585665
462;53;F10;2021;12;55;1,1073082343466882
463;53;F10;2022;1;47;0,8721469660419373
464;53;F10;2022;2;48;0,8907032844683616
465;53;F10;2022;3;47;0,8721469660419373
466;53;F10;2022;4;63;1,1690480608647245
467;53;F10;2022;5;46;0,8535906476155131
468;53;F10;2022;6;48;0,8907032844683616
469;53;F10;2022;7;51;0,9463722397476341
470;53;F10;2022;8;49;0,9092596028947856
471;53;F10;2022;9;47;0,8721469660419373
472;53;F10;2022;10;55;1,020597513453331
473;53;F10;2022;11;58;1,0762664687326033
474;53;F10;2022;12;46;0,8535906476155131
475;53;F11;2018;1;8;0,15631105900742479
476;53;F11;2018;2;6;0,11723329425556857
477;53;F11;2018;3;3;0,058616647127784284
478;53;F11;2018;4;10;0,19538882375928096
479;53;F11;2018;5;10;0,19538882375928096
480;53;F11;2018;6;9;0,1758499413833529
481;53;F11;2018;7;6;0,11723329425556857
482;53;F11;2018;8;10;0,19538882375928096
483;53;F11;2018;9;10;0,19538882375928096
484;53;F11;2018;10;6;0,11723329425556857
485;53;F11;2018;11;4;0,07815552950371239
486;53;F11;2018;12;4;0,07815552950371239
487;53;F11;2019;1;10;0,16608536787908987
488;53;F11;2019;2;14;0,2325195150307258
489;53;F11;2019;3;13;0,2159109782428168
490;53;F11;2019;4;8;0,13286829430327188
491;53;F11;2019;5;13;0,2159109782428168
492;53;F11;2019;6;8;0,13286829430327188
493;53;F11;2019;7;9;0,14947683109118087
494;53;F11;2019;8;13;0,2159109782428168
495;53;F11;2019;9;11;0,18269390466699884
496;53;F11;2019;10;10;0,16608536787908987
497;53;F11;2019;11;14;0,2325195150307258
498;53;F11;2019;12;12;0,1993024414549078
499;53;F11;2020;1;6;0,12445550715619166
500;53;F11;2020;2;6;0,12445550715619166
501;53;F11;2020;3;9;0,18668326073428748
502;53;F11;2020;4;6;0,12445550715619166
503;53;F11;2020;5;13;0,2696535988384153
504;53;F11;2020;6;6;0,12445550715619166
505;53;F11;2020;7;5;0,10371292263015972
506;53;F11;2020;8;8;0,16594067620825553
507;53;F11;2020;9;7;0,1451980916822236
508;53;F11;2020;10;3;0,06222775357809583
509;53;F11;2020;11;4;0,08297033810412777
510;53;F11;2020;12;4;0,08297033810412777
511;53;F11;2021;1;9;0,18119589289309443
512;53;F11;2021;2;3;0,06039863096436481
513;53;F11;2021;4;3;0,06039863096436481
514;53;F11;2021;5;7;0,14093013891685122
515;53;F11;2021;6;8;0,16106301590497282
516;53;F11;2021;7;8;0,16106301590497282
517;53;F11;2021;8;8;0,16106301590497282
518;53;F11;2021;9;6;0,12079726192872962
519;53;F11;2021;10;4;0,08053150795248641
520;53;F11;2021;11;4;0,08053150795248641
521;53;F11;2021;12;8;0,16106301590497282
522;53;F11;2022;1;8;0,14845054741139357
523;53;F11;2022;2;7;0,12989422898496938
524;53;F11;2022;3;7;0,12989422898496938
525;53;F11;2022;4;11;0,20411950269066617
526;53;F11;2022;5;5;0,09278159213212099
527;53;F11;2022;6;10;0,18556318426424198
528;53;F11;2022;7;5;0,09278159213212099
529;53;F11;2022;8;11;0,20411950269066617
530;53;F11;2022;9;8;0,14845054741139357
531;53;F11;2022;10;6;0,1113379105585452
532;53;F11;2022;11;11;0,20411950269066617
533;53;F11;2022;12;9;0,16700686583781776
534;53;F12;2018;1;4;0,07815552950371239
535;53;F12;2018;2;4;0,07815552950371239
536;53;F12;2018;3;7;0,13677217663149666
537;53;F12;2018;4;10;0,19538882375928096
538;53;F12;2018;5;13;0,25400547088706527
539;53;F12;2018;6;6;0,11723329425556857
540;53;F12;2018;7;7;0,13677217663149666
541;53;F12;2018;8;2;0,039077764751856196
542;53;F12;2018;9;7;0,13677217663149666
543;53;F12;2018;10;3;0,058616647127784284
544;53;F12;2018;11;2;0,039077764751856196
545;53;F12;2018;12;3;0,058616647127784284
546;53;F12;2019;1;1;0,016608536787908985
547;53;F12;2019;2;1;0,016608536787908985
548;53;F12;2019;3;5;0,08304268393954493
549;53;F12;2019;4;3;0,04982561036372695
550;53;F12;2019;5;3;0,04982561036372695
551;53;F12;2019;6;5;0,08304268393954493
552;53;F12;2019;7;7;0,1162597575153629
553;53;F12;2019;8;6;0,0996512207274539
554;53;F12;2019;9;7;0,1162597575153629
555;53;F12;2019;10;6;0,0996512207274539
556;53;F12;2019;11;2;0,03321707357581797
557;53;F12;2019;12;3;0,04982561036372695
558;53;F12;2020;1;3;0,06222775357809583
559;53;F12;2020;2;8;0,16594067620825553
560;53;F12;2020;3;7;0,1451980916822236
561;53;F12;2020;4;6;0,12445550715619166
562;53;F12;2020;5;4;0,08297033810412777
563;53;F12;2020;6;2;0,04148516905206388
564;53;F12;2020;7;4;0,08297033810412777
565;53;F12;2020;8;1;0,02074258452603194
566;53;F12;2020;9;2;0,04148516905206388
567;53;F12;2020;10;2;0,04148516905206388
568;53;F12;2020;11;5;0,10371292263015972
569;53;F12;2020;12;5;0,10371292263015972
570;53;F12;2021;1;2;0,040265753976243206
571;53;F12;2021;2;2;0,040265753976243206
