MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
230370.0;08-2013;F10;2
230370.0;09-2013;F10;1
230370.0;10-2013;F10;1
230370.0;11-2013;F10;1
230370.0;12-2013;F10;2
230380.0;02-2013;F10;1
230380.0;10-2013;F10;1
230393.0;05-2013;F10;1
230393.0;10-2013;F10;1
230395.0;03-2013;F10;1
230395.0;05-2013;F19;1
230410.0;01-2013;F10;2
230410.0;02-2013;F10;1
230410.0;03-2013;F10;1
230410.0;06-2013;F10;1
230410.0;08-2013;F10;2
230410.0;09-2013;F10;2
230410.0;10-2013;F10;2
230410.0;11-2013;F10;2
230410.0;12-2013;F10;3
230420.0;03-2013;F10;3
230420.0;12-2013;F10;1
230427.0;04-2013;F10;1
230427.0;06-2013;F10;1
230428.0;05-2013;F10;1
230428.0;06-2013;F10;1
230428.0;12-2013;F10;1
230430.0;09-2013;F10;1
230430.0;12-2013;F10;1
230440.0;01-2013;F10;26
230440.0;01-2013;F19;1
230440.0;02-2013;F10;21
230440.0;03-2013;F10;21
230440.0;03-2013;F19;1
230440.0;04-2013;F10;13
230440.0;04-2013;F14;2
230440.0;04-2013;F19;1
230440.0;05-2013;F10;19
230440.0;06-2013;F10;21
230440.0;06-2013;F14;2
230440.0;07-2013;F10;11
230440.0;07-2013;F14;1
230440.0;08-2013;F10;12
230440.0;08-2013;F14;1
230440.0;09-2013;F10;16
230440.0;10-2013;F10;9
230440.0;11-2013;F10;9
230440.0;12-2013;F10;8
230450.0;09-2013;F10;1
230470.0;03-2013;F10;1
230470.0;11-2013;F10;2
230470.0;12-2013;F10;1
230490.0;01-2013;F10;1
230495.0;01-2013;F10;1
230500.0;01-2013;F10;1
230500.0;08-2013;F10;2
230500.0;10-2013;F10;1
230500.0;11-2013;F10;1
230523.0;01-2013;F10;1
230530.0;02-2013;F10;1
230530.0;06-2013;F10;1
230530.0;07-2013;F10;1
230533.0;03-2013;F10;1
230535.0;03-2013;F10;1
230540.0;01-2013;F14;1
230540.0;02-2013;F10;1
230540.0;03-2013;F10;3
230540.0;04-2013;F10;1
230540.0;07-2013;F10;2
230540.0;08-2013;F10;1
230550.0;01-2013;F10;1
230550.0;02-2013;F10;2
230550.0;03-2013;F10;6
230550.0;05-2013;F10;2
230550.0;06-2013;F10;1
230550.0;07-2013;F10;2
230550.0;08-2013;F10;1
230550.0;09-2013;F10;3
230550.0;10-2013;F10;2
230550.0;11-2013;F10;1
230550.0;12-2013;F10;1
230560.0;01-2013;F10;1
230560.0;03-2013;F10;1
230580.0;07-2013;F10;1
230590.0;03-2013;F10;1
230610.0;01-2013;F10;1
230610.0;12-2013;F10;1
230620.0;02-2013;F10;1
230620.0;07-2013;F10;1
230625.0;05-2013;F10;1
230625.0;06-2013;F10;1
230625.0;12-2013;F10;1
230630.0;07-2013;F10;1
230630.0;08-2013;F10;1
230640.0;02-2013;F10;1
230640.0;04-2013;F10;4
230660.0;03-2013;F10;1
230660.0;05-2013;F10;1
230690.0;02-2013;F10;1
230690.0;03-2013;F10;1
230690.0;05-2013;F10;2
230690.0;08-2013;F10;1
230690.0;11-2013;F10;1
230710.0;10-2013;F10;1
230710.0;11-2013;F10;1
230730.0;01-2013;F10;1
230730.0;02-2013;F10;3
230730.0;03-2013;F10;2
230730.0;06-2013;F10;2
230730.0;08-2013;F10;1
230730.0;09-2013;F10;2
230740.0;04-2013;F10;1
230740.0;09-2013;F10;1
230750.0;08-2013;F10;1
230760.0;04-2013;F10;1
230760.0;05-2013;F10;1
230760.0;09-2013;F10;1
230763.0;01-2013;F10;1
230763.0;05-2013;F10;1
230763.0;09-2013;F10;1
230765.0;02-2013;F10;4
230765.0;03-2013;F10;2
230765.0;04-2013;F10;2
230765.0;06-2013;F10;1
230765.0;07-2013;F10;2
230765.0;08-2013;F10;2
230765.0;11-2013;F10;1
230765.0;12-2013;F10;1
230770.0;01-2013;F10;2
230770.0;02-2013;F10;2
230770.0;03-2013;F10;2
230770.0;05-2013;F10;4
230770.0;06-2013;F10;1
230770.0;09-2013;F10;3
230770.0;10-2013;F10;2
230770.0;12-2013;F10;2
230780.0;07-2013;F10;2
230790.0;05-2013;F10;1
230800.0;02-2013;F10;1
230820.0;01-2013;F10;1
230820.0;08-2013;F10;2
230840.0;07-2013;F10;1
230850.0;01-2013;F10;1
230850.0;03-2013;F10;1
230860.0;02-2013;F10;1
230870.0;01-2013;F10;2
230870.0;03-2013;F10;1
230870.0;05-2013;F10;1
230870.0;06-2013;F10;1
230870.0;07-2013;F10;1
230870.0;09-2013;F10;1
230870.0;11-2013;F10;1
230870.0;12-2013;F10;1
230890.0;12-2013;F10;1
230900.0;03-2013;F10;1
230900.0;06-2013;F10;1
230910.0;01-2013;F10;1
230910.0;02-2013;F10;1
230910.0;04-2013;F10;1
230920.0;10-2013;F10;1
230930.0;02-2013;F10;1
230930.0;03-2013;F10;3
230930.0;05-2013;F10;1
230930.0;06-2013;F10;1
230930.0;08-2013;F10;2
230930.0;11-2013;F10;2
230945.0;05-2013;F10;1
230945.0;10-2013;F10;1
230960.0;01-2013;F10;1
230960.0;02-2013;F10;1
230960.0;03-2013;F10;1
230960.0;04-2013;F10;2
230960.0;12-2013;F10;2
230970.0;02-2013;F10;1
230970.0;03-2013;F10;3
230970.0;04-2013;F10;1
230970.0;06-2013;F10;1
230970.0;07-2013;F10;1
230970.0;10-2013;F10;1
230980.0;08-2013;F10;2
231010.0;03-2013;F10;1
231020.0;02-2013;F10;1
231020.0;11-2013;F10;1
231025.0;06-2013;F10;1
231050.0;03-2013;F10;1
231050.0;04-2013;F10;1
231050.0;05-2013;F10;1
231050.0;06-2013;F10;2
231050.0;11-2013;F10;1
231080.0;04-2013;F10;1
231085.0;03-2013;F10;1
231085.0;04-2013;F10;1
231090.0;03-2013;F10;1
231090.0;05-2013;F10;1
231090.0;06-2013;F10;1
231100.0;03-2013;F10;1
231110.0;05-2013;F10;1
231110.0;08-2013;F10;1
231120.0;02-2013;F10;1
231130.0;05-2013;F10;2
231130.0;06-2013;F14;1
231130.0;10-2013;F10;1
231130.0;12-2013;F10;1
231135.0;08-2013;F10;1
231140.0;01-2013;F10;2
231140.0;03-2013;F10;1
231140.0;04-2013;F10;1
231140.0;06-2013;F10;3
231140.0;07-2013;F10;1
231140.0;12-2013;F10;1
231150.0;02-2013;F10;1
231160.0;05-2013;F10;1
231160.0;08-2013;F10;1
231160.0;09-2013;F10;1
231180.0;02-2013;F10;1
231180.0;04-2013;F10;3
231180.0;07-2013;F10;1
231180.0;09-2013;F10;1
231180.0;11-2013;F10;1
231200.0;05-2013;F10;1
231200.0;12-2013;F10;1
231230.0;02-2013;F10;1
231230.0;03-2013;F10;1
231230.0;05-2013;F10;1
231230.0;11-2013;F10;1
231230.0;12-2013;F10;1
231240.0;01-2013;F19;1
231240.0;05-2013;F10;2
231240.0;06-2013;F10;1
231260.0;10-2013;F10;1
231270.0;05-2013;F10;1
231270.0;12-2013;F10;1
231290.0;01-2013;F10;2
231290.0;02-2013;F10;1
231290.0;03-2013;F10;5
231290.0;03-2013;F19;1
231290.0;05-2013;F10;1
231290.0;06-2013;F19;1
231290.0;07-2013;F10;2
231290.0;07-2013;F19;1
231290.0;08-2013;F10;2
231290.0;09-2013;F10;2
231290.0;11-2013;F10;1
231290.0;12-2013;F10;1
231300.0;05-2013;F10;1
231300.0;06-2013;F10;1
231310.0;06-2013;F10;1
231320.0;01-2013;F10;2
231320.0;08-2013;F10;1
231330.0;02-2013;F10;1
231330.0;03-2013;F10;1
231330.0;04-2013;F10;1
231340.0;01-2013;F10;5
231340.0;02-2013;F10;2
231340.0;04-2013;F10;1
231340.0;05-2013;F10;1
231340.0;05-2013;F16;1
231340.0;06-2013;F14;1
231340.0;09-2013;F10;2
231350.0;08-2013;F10;3
231350.0;09-2013;F10;1
231350.0;10-2013;F10;1
231350.0;12-2013;F10;1
231355.0;03-2013;F10;1
231360.0;01-2013;F10;1
231360.0;07-2013;F10;1
231375.0;01-2013;F10;1
231375.0;04-2013;F10;1
231380.0;04-2013;F11;1
231380.0;11-2013;F10;2
231380.0;12-2013;F10;1
231395.0;08-2013;F10;1
231410.0;02-2013;F10;1
231410.0;04-2013;F10;2
231410.0;05-2013;F10;2
231410.0;06-2013;F10;2
231410.0;07-2013;F10;1
240020.0;11-2013;F10;1
240030.0;11-2013;F10;1
240050.0;04-2013;F10;1
240080.0;04-2013;F10;1
240080.0;08-2013;F10;1
240100.0;05-2013;F10;1
240100.0;06-2013;F10;1
240110.0;08-2013;F19;1
240130.0;06-2013;F10;1
240145.0;08-2013;F10;1
240165.0;06-2013;F10;1
240170.0;07-2013;F10;1
240200.0;01-2013;F10;1
240200.0;02-2013;F10;1
240200.0;04-2013;F10;1
240210.0;01-2013;F10;1
240210.0;05-2013;F10;1
240220.0;05-2013;F10;1
240230.0;04-2013;F10;1
240260.0;04-2013;F10;1
240260.0;12-2013;F10;1
240290.0;06-2013;F10;1
240325.0;07-2013;F10;1
240325.0;09-2013;F10;1
240420.0;02-2013;F10;1
240420.0;09-2013;F10;1
240430.0;02-2013;F10;1
240450.0;08-2013;F10;1
240500.0;04-2013;F10;1
240560.0;01-2013;F10;1
240580.0;04-2013;F10;2
240580.0;05-2013;F10;1
240610.0;05-2013;F10;1
240610.0;07-2013;F10;1
240650.0;05-2013;F10;1
240680.0;06-2013;F10;1
240710.0;06-2013;F10;1
240710.0;12-2013;F10;1
240740.0;02-2013;F10;1
240740.0;07-2013;F10;1
240770.0;03-2013;F10;1
240780.0;09-2013;F10;1
240790.0;11-2013;F10;1
240800.0;01-2013;F10;2
240800.0;03-2013;F10;2
240800.0;04-2013;F10;2
240800.0;05-2013;F10;2
240800.0;06-2013;F10;6
240800.0;07-2013;F10;2
240800.0;08-2013;F10;1
240800.0;09-2013;F10;2
240800.0;10-2013;F10;3
240800.0;12-2013;F10;1
240810.0;01-2013;F14;1
